  Ti293:     5: 4995, 5916, 912, 15228, 15386
  Ti294:     5: 181, 14966, 445, 5467, 4711
  Ti295:     5: 5391, 5458, 6328, 15668, 530
  Ti296:     5: 5178, 14877, 380, 5480, 5976
  Ti297:     5: 4705, 5682, 15317, 14935, 685
  Ti298:     5: 162, 14794, 14850, 5466, 5160
  Ti299:     5: 5711, 15326, 15412, 14948, 5027
  Ti300:     6: 14739, 6210, 5101, 5112, 58, 15498
  Ti301:     5: 4781, 5595, 668, 5497, 194
  Ti302:     5: 4620, 5200, 14799, 14701, 385
  Ti303:     5: 6267, 14912, 15114, 177, 4726
  Ti304:     5: 5843, 15191, 15408, 947, 5855
  Ti305:     5: 4552, 14790, 15621, 5221, 14820
  Ti306:     5: 4998, 15187, 6448, 6783, 5560
  Ti307:     5: 5224, 15547, 533, 15092, 14772
  Ti308:     5: 6185, 14837, 6091, 4609, 5358
  Ti309:     5: 5301, 5603, 6187, 14727, 846
  Ti310:     5: 117, 14699, 6101, 5157, 14695
  Ti311:     5: 5632, 15423, 15410, 15026, 660
  Ti312:     5: 14915, 5943, 5405, 5506, 6201
  Ti313:     5: 4793, 5857, 15215, 6553, 15186
  Ti314:     5: 15176, 550, 5805, 5429, 6334
  Ti315:     6: 4675, 5349, 456, 15027, 6487, 5323
  Ti316:     5: 5672, 15021, 15050, 6080, 5451
  Ti317:     6: 5532, 15642, 15118, 6296, 14973, 4725
  Ti318:     5: 4999, 5447, 15262, 6311, 6759
  Ti319:     5: 5555, 15100, 14909, 621, 5544
  Ti320:     5: 4913, 15254, 15351, 902, 5839
  Ti321:     6: 4715, 127, 4720, 597, 15108, 14947
  Ti322:     5: 190, 14910, 15031, 15634, 5606
  Ti323:     5: 4543, 5238, 6281, 5492, 5971
  Ti324:     5: 57, 5172, 6141, 5772, 6385
  Ti325:     5: 15647, 5778, 15353, 5336, 15041
  Ti326:     6: 15165, 15552, 108, 4945, 5643, 592
  Ti327:     5: 15430, 6862, 15411, 4706, 883
  Ti328:     5: 4628, 14841, 5287, 5947, 5185
